# number	 instances	 feasibility	 total allocation	 generated patterns	 execution time
1	 3	 1	 2	 6	 585
2	 5	 1	 15	 11	 934
3	 5	 1	 27	 11	 787
4	 5	 0	 -	 -	 124
5	 5	 0	 -	 -	 137
6	 10	 1	 20	 28	 1008
7	 10	 1	 37	 27	 1290
8	 6	 0	 -	 -	 127
9	 10	 1	 8	 22	 973
10	 10	 1	 12	 25	 1059
11	 10	 1	 18	 23	 1052
12	 6	 0	 -	 -	 125
13	 5	 1	 10	 10	 805
14	 5	 1	 13	 10	 792
15	 11	 0	 -	 -	 189
16	 6	 0	 -	 -	 90
17	 5	 1	 5	 10	 726
18	 1	 0	 -	 -	 77
19	 6	 0	 -	 -	 109
20	 6	 0	 -	 -	 92
21	 50	 1	 137	 147	 4034
22	 50	 1	 197	 134	 136197
23	 100	 1	 536	 319	 40510
24	 50	 1	 82	 153	 41327
