# number	 instances	 feasibility	 total allocation	 generated patterns	 execution time
1	 3	 1	 2	 6	 638
2	 5	 1	 15	 11	 803
3	 5	 1	 27	 11	 1755
4	 5	 0	 -	 12	 124
5	 5	 0	 -	 11	 86
6	 10	 1	 20	 28	 2296
7	 10	 1	 37	 27	 1894
8	 6	 0	 -	 15	 93
9	 10	 1	 8	 22	 1341
10	 10	 1	 12	 25	 1882
11	 10	 1	 18	 23	 1282
12	 6	 0	 -	 15	 115
13	 5	 1	 10	 10	 567
14	 5	 1	 13	 10	 589
15	 11	 0	 -	 33	 434
16	 6	 0	 -	 13	 98
17	 5	 1	 5	 10	 952
18	 1	 0	 -	 2	 77
19	 6	 0	 -	 12	 109
20	 6	 0	 -	 12	 97
21	 50	 1	 136	 147	 82627
