# number	 instances	 feasibility	 total allocation	 generated patterns	 execution time
1	 3	 1	 2	 6	 566
2	 5	 1	 15	 11	 1590
3	 5	 1	 27	 11	 783
4	 5	 0	 -	 -	 135
5	 5	 0	 -	 -	 125
6	 10	 1	 20	 28	 992
7	 10	 1	 37	 27	 1299
8	 6	 0	 -	 -	 126
9	 10	 1	 8	 22	 907
10	 10	 1	 12	 25	 995
11	 10	 1	 18	 23	 1042
12	 6	 0	 -	 -	 125
13	 5	 1	 10	 10	 792
14	 5	 1	 13	 10	 787
15	 11	 0	 -	 -	 166
16	 6	 0	 -	 -	 90
17	 5	 1	 5	 10	 728
18	 1	 0	 -	 -	 77
19	 6	 0	 -	 -	 90
20	 6	 0	 -	 -	 92
21	 50	 1	 137	 147	 3892
22	 50	 1	 197	 134	 208386
23	 100	 1	 536	 319	 41955
24	 50	 1	 82	 153	 41366
